Designator,Mid X,Mid Y,Rotation,Layer
SW61,35.71875,-83.56,0.0,top
SW62,59.53125,-83.56,0.0,top
SW63,130.96875,-83.56,0.0,top
SW64,202.40625,-83.56,0.0,top
SW65,226.21875,-83.56,0.0,top
SW66,257.175,-83.56,0.0,top
SW67,276.225,-83.56,0.0,top
SW68,295.275,-83.56,0.0,top
SW69,14.2875,-83.56,0.0,top
SW7,123.825,-7.36,0.0,top
SW70,38.1,-83.56,0.0,top
SW71,61.9125,-83.56,0.0,top
SW72,142.875,-83.56,0.0,top
SW73,223.8375,-83.56,0.0,top
SW74,257.175,-7.36,0.0,top
SW75,11.90625,-45.46,0.0,top
SW76,22.91738,-19.1625,90.0,bottom
SW77,29.31738,-19.1625,90.0,bottom
SW8,142.875,-7.36,0.0,top
SW9,161.925,-7.36,0.0,top
U1,29.51738,-47.5625,225.0,bottom
U2,11.91738,-37.1625,180.0,bottom
