Designator,Mid X,Mid Y,Rotation,Layer
SW70,38.1,-85.725,0.0,top
SW71,61.9125,-85.725,0.0,top
SW72,142.875,-85.725,0.0,top
SW73,223.8375,-85.725,0.0,top
SW74,257.175,-9.525,0.0,top
SW75,11.90625,-47.625,0.0,top
SW8,142.875,-9.525,0.0,top
SW9,161.925,-9.525,0.0,top
U1,29.51738,-47.5625,225.0,bottom
U2,11.91738,-37.1625,180.0,bottom
